beta,epoch,step,train_kl_div,train_loss,train_recon_cont,train_recon_label,val_kl_div,val_loss,val_recon_cont,val_recon_label
0.0034814493265002966,27,216,15.252754211425781,1.1773333549499512,0.8536166548728943,0.5412300825119019,,,,
0.0034814493265002966,27,217,28.003141403198242,1.26065993309021,0.914276659488678,0.4977836608886719,,,,
0.0034814493265002966,27,218,12.933940887451172,0.9813801646232605,0.6649381518363953,0.5428263545036316,,,,
0.0034814493265002966,27,219,33.799957275390625,1.459542989730835,1.0783756971359253,0.5269889831542969,,,,
0.0034814493265002966,27,220,15.633343696594238,1.1818082332611084,0.8582812547683716,0.5382006168365479,,,,
0.0034814493265002966,27,221,18.366039276123047,1.2712963819503784,0.95111483335495,0.5124822854995728,,,,
0.0034814493265002966,27,222,22.26852798461914,1.3925814628601074,1.073175311088562,0.483758807182312,,,,
0.0034814493265002966,27,223,13.712221145629883,0.9018452167510986,0.6233454346656799,0.4615226984024048,,,,
0.0034814495593309402,27,223,,,,,14.772116661071777,1.1315358877182007,0.8024778366088867,0.5552594065666199
0.0038918019272387028,28,224,15.962390899658203,0.9818188548088074,0.6556808948516846,0.5280309915542603,,,,
0.0038918019272387028,28,225,16.490215301513672,1.1770638227462769,0.8670499324798584,0.4916743040084839,,,,
0.0038918019272387028,28,226,21.20316505432129,1.192702054977417,0.8327363729476929,0.5548944473266602,,,,
0.0038918019272387028,28,227,15.291878700256348,1.0831618309020996,0.7758551836013794,0.4955873489379883,,,,
0.0038918019272387028,28,228,19.791709899902344,1.1151814460754395,0.7833914756774902,0.5095291137695312,,,,
0.0038918019272387028,28,229,21.82278060913086,1.2102949619293213,0.8712292909622192,0.508271336555481,,,,
0.0038918019272387028,28,230,14.374553680419922,1.0610402822494507,0.738203227519989,0.5337883234024048,,,,
0.0038918019272387028,28,231,14.463400840759277,1.4040379524230957,1.0509620904922485,0.5935743451118469,,,,
0.0038918019272387028,28,231,,,,,15.803555488586426,1.1000759601593018,0.7772701978683472,0.5226028561592102
0.004322985652834177,29,232,17.368221282958984,1.2099342346191406,0.8809950351715088,0.5077133774757385,,,,
0.004322985652834177,29,233,14.187581062316895,1.0095354318618774,0.7009060382843018,0.4945933222770691,,,,
0.004322985652834177,29,234,15.47475528717041,0.9173979759216309,0.6115688681602478,0.4778639078140259,,,,
0.004322985652834177,29,235,17.111495971679688,1.0185067653656006,0.7154425382614136,0.4581829011440277,,,,
0.004322985652834177,29,236,18.99544334411621,1.0733211040496826,0.7736614346504211,0.4350852966308594,,,,
0.004322985652834177,29,237,21.992870330810547,1.3340282440185547,1.0296498537063599,0.4186069369316101,,,,
0.004322985652834177,29,238,19.505390167236328,1.1363883018493652,0.8037997484207153,0.49653422832489014,,,,
0.004322985652834177,29,239,18.99413299560547,1.1069496870040894,0.7953763604164124,0.45892396569252014,,,,
0.004322985652834177,29,239,,,,,17.423686981201172,1.0594886541366577,0.7503162622451782,0.46770012378692627
