beta,epoch,step,train_kl_div,train_loss,train_recon_cat,train_recon_cont,val_kl_div,val_loss,val_recon_cat,val_recon_cont
0.0,15,236,2049.44677734375,0.5595700740814209,0.06857819110155106,0.49099186062812805,,,,
0.0,15,237,2077.36767578125,0.6159130334854126,0.028928671032190323,0.5869843363761902,,,,
0.0,15,238,2436.369140625,0.6038068532943726,0.0777880921959877,0.5260187387466431,,,,
0.0,15,239,528.21044921875,1.4650673866271973,0.03228216618299484,1.4327852725982666,,,,
0.0,15,239,,,,,1219.4508056640625,0.62845778465271,0.05231362581253052,0.5761440992355347
0.0006852326332591474,16,240,1329.82763671875,1.5357497930526733,0.1407967209815979,0.48371177911758423,,,,
0.0006852326332591474,16,241,1525.7733154296875,1.8493874073028564,0.10749709606170654,0.6963806748390198,,,,
0.0006852326332591474,16,242,1678.945556640625,2.0873167514801025,0.0563175193965435,0.8805310130119324,,,,
0.0006852326332591474,16,243,1807.5439453125,1.994491457939148,0.08819173276424408,0.667711615562439,,,,
0.0006852326332591474,16,244,1786.3177490234375,1.6940549612045288,0.03097585216164589,0.43903589248657227,,,,
0.0006852326332591474,16,245,1996.8759765625,2.2331628799438477,0.06759953498840332,0.7972387671470642,,,,
0.0006852326332591474,16,246,1404.1510009765625,1.5059459209442139,0.031607888638973236,0.5121680498123169,,,,
0.0006852326332591474,16,247,1308.9288330078125,1.952739953994751,0.055777475237846375,1.0000417232513428,,,,
0.0006852326332591474,16,248,1275.7646484375,1.6667287349700928,0.12500570714473724,0.667527437210083,,,,
0.0006852326332591474,16,249,1343.03173828125,1.9263843297958374,0.08427093178033829,0.9218242764472961,,,,
0.0006852326332591474,16,250,810.2110595703125,1.1227056980133057,0.0782189816236496,0.48930373787879944,,,,
0.0006852326332591474,16,251,1069.437744140625,1.6278884410858154,0.04011884331703186,0.8549559116363525,,,,
0.0006852326332591474,16,252,1037.0311279296875,1.373104453086853,0.07395301759243011,0.5885438323020935,,,,
0.0006852326332591474,16,253,763.5657348632812,1.3337290287017822,0.11656380444765091,0.693945050239563,,,,
0.0006852326332591474,16,254,326.748779296875,1.3550515174865723,0.2074608951807022,0.9236917495727539,,,,
0.0006852326914668083,16,254,,,,,508.20037841796875,1.0302656888961792,0.07173772156238556,0.610292375087738
0.002739052288234234,17,255,769.042236328125,2.8774166107177734,0.10142919421195984,0.669540286064148,,,,
0.002739052288234234,17,256,610.23193359375,2.7494330406188965,0.10737895965576172,0.9705968499183655,,,,
0.002739052288234234,17,257,521.7919311523438,2.1799652576446533,0.12708866596221924,0.6236611604690552,,,,
0.002739052288234234,17,258,389.650146484375,2.2068405151367188,0.18676313757896423,0.9528052806854248,,,,
0.002739052288234234,17,259,641.1279296875,2.4410452842712402,0.107512928545475,0.5774495005607605,,,,
0.002739052288234234,17,260,458.7526550292969,2.0657405853271484,0.14141510426998138,0.6677780747413635,,,,
0.002739052288234234,17,261,529.3192138671875,2.061086416244507,0.06874348968267441,0.5425099730491638,,,,
0.002739052288234234,17,262,395.4912109375,1.7164851427078247,0.11317804455757141,0.520035982131958,,,,
0.002739052288234234,17,263,481.2004089355469,2.359428644180298,0.12396622449159622,0.9174293279647827,,,,
0.002739052288234234,17,264,320.7512512207031,1.6447083950042725,0.1771850734949112,0.5889688730239868,,,,
0.002739052288234234,17,265,239.04647827148438,1.2940802574157715,0.15588097274303436,0.48343855142593384,,,,
0.002739052288234234,17,266,320.2082214355469,1.911494493484497,0.16600468754768372,0.8684227466583252,,,,
0.002739052288234234,17,267,314.66925048828125,2.0724880695343018,0.23200514912605286,0.9785873889923096,,,,
0.002739052288234234,17,268,217.47802734375,1.3895334005355835,0.17254255712032318,0.6213071346282959,,,,
0.002739052288234234,17,269,61.81326675415039,0.832476019859314,0.13729767501354218,0.5258685350418091,,,,
0.002739052288234234,17,269,,,,,150.50350952148438,1.2659566402435303,0.17592549324035645,0.6777942180633545
